env_name,config_path,alpha,gap,kappa,discount,batch_size,seed,run_dir,stage1_completed,metric_name,best_metric_upto_200,metric_at_200,continued_to_400,best_metric_upto_400,final_metric_400,idm_best_upto_200,actor_best_upto_200,idm_final_400,actor_final_400,status,notes
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap0p0_k0p6.yaml,0.0,0.0,0.6,0.99,1024,0,runs/20260516_134439_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.0,0.0,true,0.06,0.01,0.0,0.0,0.07,0.01,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap0p0_k0p7.yaml,0.0,0.0,0.7,0.99,1024,0,runs/20260517_005238_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.12,0.12,true,0.06,0.06,0.12,0.0,0.07,0.06,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap0p0_k0p8.yaml,0.0,0.0,0.8,0.99,1024,0,runs/20260517_022626_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.02,0.02,true,0.05,0.05,0.02,0.0,0.04,0.05,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap0p0_k0p9.yaml,0.0,0.0,0.9,0.99,1024,0,runs/20260517_040036_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.02,0.0,false,,,0.06,0.02,,,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap10p0_k0p6.yaml,0.0,10.0,0.6,0.99,1024,0,runs/20260517_044806_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.17,0.17,true,0.17,0.16,0.12,0.17,0.13,0.16,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap10p0_k0p7.yaml,0.0,10.0,0.7,0.99,1024,0,runs/20260517_062029_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.01,0.01,true,0.16,0.16,0.04,0.01,0.0,0.16,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap10p0_k0p8.yaml,0.0,10.0,0.8,0.99,1024,0,runs/20260517_075342_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.09,0.09,true,0.18,0.14,0.1,0.09,0.1,0.14,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap10p0_k0p9.yaml,0.0,10.0,0.9,0.99,1024,0,runs/20260517_092651_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.04,0.02,false,,,0.06,0.04,,,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap1p0_k0p6.yaml,0.0,1.0,0.6,0.99,1024,0,runs/20260517_101350_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.08,0.08,true,0.18,0.14,0.04,0.08,0.08,0.14,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap1p0_k0p7.yaml,0.0,1.0,0.7,0.99,1024,0,runs/20260517_114716_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.04,0.04,true,0.04,0.02,0.04,0.0,0.09,0.02,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap1p0_k0p8.yaml,0.0,1.0,0.8,0.99,1024,0,runs/20260517_132121_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.04,0.02,false,,,0.04,0.0,,,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap1p0_k0p9.yaml,0.0,1.0,0.9,0.99,1024,0,runs/20260517_140825_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.01,0.01,true,0.06,0.04,0.11,0.01,0.11,0.04,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap20p0_k0p6.yaml,0.0,20.0,0.6,0.99,1024,0,runs/20260517_154217_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.17,0.17,true,0.2,0.2,0.01,0.17,0.05,0.2,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap20p0_k0p7.yaml,0.0,20.0,0.7,0.99,1024,0,runs/20260517_171428_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.0,0.0,true,0.02,0.0,0.0,0.0,0.0,0.0,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap20p0_k0p8.yaml,0.0,20.0,0.8,0.99,1024,0,runs/20260517_184812_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.2,0.2,true,0.2,0.2,0.11,0.2,0.1,0.2,ok,
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p0_gap20p0_k0p9.yaml,0.0,20.0,0.9,0.99,1024,0,runs/20260517_201946_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.12,0.1,false,,,0.03,0.12,,,ok,
